Trial Number,Background,Foreground,Completion Time,Answer Correct,True Answer,Subject Answer
1,255,0,10.431176900863647,0,-3,1
1,42,212,8.317871809005737,0,1,3
1,85,170,18.25425934791565,0,-1,-3
1,212,42,18.061363697052002,1,5,5
1,0,255,13.546409130096436,1,-1,-1
1,170,85,13.563694715499878,1,-3,-3
2,255,0,47.93597769737244,1,3,3
2,0,255,47.79281449317932,0,7,11
2,85,170,40.208823919296265,1,103,103
2,212,42,40.529667139053345,1,0,0
2,170,85,35.53600573539734,1,-2,-2
2,42,212,29.81333351135254,1,1,1
3,255,0,24.49271321296692,0,-1,1
3,42,212,17.019306898117065,0,-2,0
3,85,170,7.131785154342651,1,-3,-3
3,0,255,11.2750985622406,0,-1,1
3,212,42,15.680631637573242,0,-2,-1
3,170,85,4.457613229751587,0,0,3
